timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:27 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:17:27 UTC 202, 1, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:27 UTC 202, 6, 11 %, 93 W, 512 MiB
Tue Aug  2 20:17:27 UTC 202, 5, 52 %, 179 W, 512 MiB
Tue Aug  2 20:17:27 UTC 202, 0, 13 %, 99 W, 512 MiB
Tue Aug  2 20:17:27 UTC 202, 3, 14 %, 103 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:30 UTC 202, 7, 52 %, 213 W, 32454 MiB
Tue Aug  2 20:17:30 UTC 202, 0, 13 %, 99 W, 32454 MiB
Tue Aug  2 20:17:30 UTC 202, 1, 15 %, 102 W, 32454 MiB
Tue Aug  2 20:17:30 UTC 202, 6, 11 %, 94 W, 32454 MiB
Tue Aug  2 20:17:30 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:17:30 UTC 202, 5, 14 %, 101 W, 32454 MiB
Tue Aug  2 20:17:30 UTC 202, 3, 55 %, 181 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:32 UTC 202, 5, 14 %, 102 W, 32454 MiB
Tue Aug  2 20:17:32 UTC 202, 7, 10 %, 91 W, 32454 MiB
Tue Aug  2 20:17:32 UTC 202, 6, 11 %, 93 W, 32454 MiB
Tue Aug  2 20:17:32 UTC 202, 0, 13 %, 99 W, 32454 MiB
Tue Aug  2 20:17:32 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:17:32 UTC 202, 3, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:17:32 UTC 202, 1, 15 %, 103 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:34 UTC 202, 4, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:34 UTC 202, 3, 14 %, 102 W, 512 MiB
Tue Aug  2 20:17:34 UTC 202, 1, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:34 UTC 202, 7, 52 %, 211 W, 512 MiB
Tue Aug  2 20:17:34 UTC 202, 5, 14 %, 102 W, 512 MiB
Tue Aug  2 20:17:34 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:17:34 UTC 202, 0, 13 %, 100 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:37 UTC 202, 3, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:17:37 UTC 202, 6, 11 %, 94 W, 32454 MiB
Tue Aug  2 20:17:37 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:17:37 UTC 202, 0, 13 %, 100 W, 32454 MiB
Tue Aug  2 20:17:37 UTC 202, 5, 14 %, 102 W, 32454 MiB
Tue Aug  2 20:17:37 UTC 202, 7, 10 %, 91 W, 32454 MiB
Tue Aug  2 20:17:37 UTC 202, 1, 14 %, 103 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:40 UTC 202, 5, 14 %, 102 W, 32454 MiB
Tue Aug  2 20:17:40 UTC 202, 7, 10 %, 91 W, 32454 MiB
Tue Aug  2 20:17:40 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:17:40 UTC 202, 3, 15 %, 103 W, 32454 MiB
Tue Aug  2 20:17:40 UTC 202, 1, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:17:40 UTC 202, 0, 13 %, 100 W, 32454 MiB
