time-diff,utilization.aip [%],power.draw,memory.used [%],indicator,over baseline,total draw
600,81,228,0.984344482421875,1,-2174.5,161148.5
605,78,251,0.015625,1,-2392.0,162346.0
609,74,268,0.984344482421875,1,-2486.0,163384.0
614,73,309,0.015625,1,-2458.5,164826.5
619,76,267,0.015625,1,-2433.5,166266.5
622,84,267,0.015625,1,-2481.5,167067.5
627,71,200,0.015625,1,-2729.0,168235.0
631,54,257,0.015625,1,-2947.0,169149.0
635,87,294,0.984344482421875,1,-2977.0,170251.0
639,84,310,0.984344482421875,1,-2901.0,171459.0
644,84,295,0.015625,1,-2803.5,172971.5
648,76,268,0.015625,1,-2809.5,174097.5
652,77,263,0.984344482421875,1,-2879.5,175159.5
657,79,309,0.984344482421875,1,-2864.5,176589.5
662,62,263,0.984344482421875,1,-2849.5,178019.5
667,69,305,0.015625,1,-2844.5,179439.5
672,81,275,0.984344482421875,1,-2809.5,180889.5
676,66,278,0.984344482421875,1,-2835.5,181995.5
680,45,283,0.984344482421875,1,-2845.5,183117.5
685,78,299,0.984344482421875,1,-2805.5,184572.5
690,86,304,0.984344482421875,1,-2713.0,186080.0
693,77,301,0.015625,1,-2654.5,186987.5
698,68,304,0.015625,1,-2557.0,188500.0
703,79,294,0.984344482421875,1,-2477.0,189995.0
708,85,304,0.015625,1,-2397.0,191490.0
713,73,303,0.015625,1,-2294.5,193007.5
718,70,298,0.984344482421875,1,-2207.0,194510.0
723,83,308,0.015625,1,-2107.0,196025.0
728,46,273,0.015625,1,-2069.5,197477.5
733,25,239,0.015625,1,-2204.5,198757.5
738,21,112,0.015625,1,-2742.0,199635.0
742,76,264,0.984344482421875,1,-3122.0,200387.0
747,85,306,0.984344482421875,1,-3112.0,201812.0
751,75,307,0.015625,1,-3018.0,203038.0
755,85,294,0.984344482421875,1,-2948.0,204240.0
760,51,281,0.015625,1,-2925.5,205677.5
765,50,283,0.015625,1,-2930.5,207087.5
770,76,280,0.015625,1,-2938.0,208495.0
776,62,244,0.015625,1,-3064.0,210067.0
781,85,311,0.984344482421875,1,-3091.5,211454.5
785,86,314,0.015625,1,-2973.5,212704.5
788,44,283,0.015625,1,-2927.0,213600.0
792,48,242,0.015625,1,-3009.0,214650.0
796,67,282,0.015625,1,-3089.0,215698.0
801,79,303,0.984344482421875,1,-3036.5,217160.5
806,43,282,0.015625,1,-2984.0,218623.0
811,83,308,0.015625,1,-2919.0,220098.0
816,77,263,0.984344482421875,1,-2901.5,221525.5
821,73,267,0.984344482421875,1,-2986.5,222850.5
825,66,281,0.984344482421875,1,-3018.5,223946.5
831,81,268,0.984344482421875,1,-3063.5,225593.5
837,88,252,0.015625,1,-3195.5,227153.5
841,71,264,0.984344482421875,1,-3291.5,228185.5
847,72,226,0.984344482421875,1,-3513.5,229655.5
851,75,292,0.015625,1,-3605.5,230691.5
857,70,266,0.015625,1,-3623.5,232365.5
862,80,306,0.015625,1,-3603.5,233795.5
867,79,300,0.015625,1,-3498.5,235310.5
871,86,256,0.984344482421875,1,-3514.5,236422.5
874,71,211,0.015625,1,-3660.0,237123.0
878,79,315,0.015625,1,-3736.0,238175.0
882,86,274,0.015625,1,-3686.0,239353.0
886,74,292,0.984344482421875,1,-3682.0,240485.0
890,72,294,0.015625,1,-3638.0,241657.0
894,86,308,0.015625,1,-3562.0,242861.0
899,83,308,0.984344482421875,1,-3432.0,244401.0
904,70,221,0.984344482421875,1,-3519.5,245723.5
909,70,312,0.015625,1,-3597.0,247056.0
914,83,176,0.015625,1,-3787.0,248276.0
919,79,304,0.015625,1,-3997.0,249476.0
924,77,245,0.984344482421875,1,-4034.5,250848.5
929,80,310,0.015625,1,-4057.0,252236.0
935,70,269,0.984344482421875,1,-4012.0,253973.0
940,76,267,0.984344482421875,1,-4082.0,255313.0
944,86,312,0.015625,1,-4052.0,256471.0
948,73,281,0.015625,1,-3994.0,257657.0
951,79,268,0.015625,1,-4016.5,258480.5
956,87,274,0.015625,1,-4071.5,259835.5
960,83,309,0.015625,1,-4033.5,261001.5
965,80,311,0.015625,1,-3893.5,262551.5
971,62,268,0.984344482421875,1,-3848.5,264288.5
976,73,261,0.984344482421875,1,-3936.0,265611.0
981,59,174,0.984344482421875,1,-4258.5,266698.5
984,61,196,0.984344482421875,1,-4549.5,267253.5
988,86,285,0.015625,1,-4715.5,268215.5
994,65,278,0.984344482421875,1,-4718.5,269904.5
997,52,303,0.015625,1,-4693.0,270776.0
1002,85,295,0.984344482421875,1,-4608.0,272271.0
1005,64,191,0.984344482421875,1,-4725.0,273000.0
1010,62,271,0.984344482421875,1,-4980.0,274155.0
1013,76,314,0.015625,1,-4948.5,275032.5
1017,72,266,0.015625,1,-4916.5,276192.5
1021,47,195,0.015625,1,-5122.5,277114.5
1026,52,245,0.984344482421875,1,-5432.5,278214.5
1030,79,230,0.015625,1,-5610.5,279164.5
1035,76,203,0.015625,1,-5938.0,280247.0
1038,62,273,0.015625,1,-6070.0,280961.0
1042,87,308,0.984344482421875,1,-6036.0,282123.0
1046,69,243,0.984344482421875,1,-6062.0,283225.0
1051,81,268,0.015625,1,-6194.5,284502.5
1054,76,268,0.984344482421875,1,-6236.5,285306.5
1057,77,298,0.015625,1,-6233.5,286155.5
1061,85,248,0.015625,1,-6269.5,287247.5
1064,83,313,0.984344482421875,1,-6274.0,288089.0
1067,47,280,0.015625,1,-6230.5,288978.5
1073,85,304,0.015625,1,-6170.5,290730.5
1078,42,240,0.984344482421875,1,-6220.5,292090.5
1083,87,308,0.015625,1,-6260.5,293460.5
1088,70,288,0.984344482421875,1,-6180.5,294950.5
1092,64,204,0.984344482421875,1,-6324.5,295934.5
1095,65,200,0.015625,1,-6564.5,296540.5
1099,15,105,0.984344482421875,1,-7082.5,297150.5
1103,73,246,0.015625,1,-7508.5,297852.5
1108,52,105,0.015625,1,-8041.0,298730.0
1111,15,104,0.984344482421875,1,-8573.5,299043.5
1114,15,104,0.015625,1,-9107.5,299355.5
