time-diff,utilization.aip [%],power.draw [W],memory.used [%]
1141,83,309,0.015625
1146,80,311,0.015625
1152,62,268,0.984344482421875
1157,73,261,0.984344482421875
1162,59,174,0.984344482421875
1165,61,196,0.984344482421875
1169,86,285,0.015625
1175,65,278,0.984344482421875
1178,52,303,0.015625
1183,85,295,0.984344482421875
1186,64,191,0.984344482421875
1191,62,271,0.984344482421875
1194,76,314,0.015625
1198,72,266,0.015625
1202,47,195,0.015625
1207,52,245,0.984344482421875
1211,79,230,0.015625
1216,76,203,0.015625
1219,62,273,0.015625
1223,87,308,0.984344482421875
1227,69,243,0.984344482421875
1232,81,268,0.015625
1235,76,268,0.984344482421875
1238,77,298,0.015625
1242,85,248,0.015625
1245,83,313,0.984344482421875
1248,47,280,0.015625
1254,85,304,0.015625
1259,42,240,0.984344482421875
1264,87,308,0.015625
1269,70,288,0.984344482421875
1273,64,204,0.984344482421875
1276,65,200,0.015625
1280,15,105,0.984344482421875
1284,73,246,0.015625
1289,52,105,0.015625
1292,15,104,0.984344482421875
1295,15,104,0.015625
1300,15,104,0.015625
1302,15,103,0.015625
